id,prediction
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,1
33,0
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,0
221,1
222,0
223,0
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,0
273,0
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,0
292,0
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,1
329,1
330,0
331,0
332,1
333,0
334,0
335,1
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,1
369,1
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,1
380,1
381,1
382,0
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,1
403,1
404,0
405,1
406,0
407,1
408,1
409,0
410,0
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,1
442,1
443,0
444,0
445,1
446,0
447,0
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,1
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,1
493,0
494,1
495,1
496,0
497,1
498,1
499,0
500,0
501,1
502,0
503,0
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,1
512,1
513,1
514,0
515,1
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,1
530,0
531,0
